2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=72, url=http://lums.edu.pk/assets/plugins/font-awesome/fonts/fontawesome-webfont.ttf?v=4.0.3]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=73, url=http://lums.edu.pk/assets/plugins/calendario/css/calendar.css]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=74, url=http://lums.edu.pk/assets/plugins/calendario/css/custom_2.css]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=75, url=http://lums.edu.pk/assets/plugins/calendario/js/modernizr.custom.63321.js]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=76, url=http://lums.edu.pk/assets/plugins/calendario/js/jquery-1.8.2.min.js]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=77, url=http://lums.edu.pk/assets/plugins/calendario/js/jquery.calendario.js]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=78, url=http://lums.edu.pk/includes/calendar_index.php?web_site_id=1]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=79, url=http://lums.edu.pk/assets/img/icons/social/vimeo.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=80, url=http://lums.edu.pk/assets/img/up.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=false, done=false, timestamp=81, url=http://www.google-analytics.com/collect?v=1&_v=j36&a=36137203&t=pageview&_s=1&dl=http%3A%2F%2Fwww.lums.edu.pk%2F&ul=en-us&de=UTF-8&dt=Home%20%7C%20LUMS&sd=24-bit&sr=1366x768&vp=686x629&je=1&fl=17.0%20r0&_u=AGAAgAAB~&jid=605250172&cid=985167178.1431523103&tid=UA-59619873-1&z=340062558]
2015-05-13 18:22:01,618 INFO  [Main] Node [automated=true, done=true, timestamp=82, url=http://stats.g.doubleclick.net/__utm.gif?utmwv=5.6.4dc&utms=1&utmn=2017361047&utmhn=www.lums.edu.pk&utmcs=UTF-8&utmsr=1366x768&utmvp=686x629&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=17.0%20r0&utmdt=Home%20%7C%20LUMS&utmhid=36137203&utmr=-&utmp=%2F&utmht=1431523103043&utmac=UA-59619873-1&utmcc=__utma%3D245211800.985167178.1431523103.1431523103.1431523103.1%3B%2B__utmz%3D245211800.1431523103.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=qAAAAAAAAAAAAAAAAAAB~]
2015-05-13 18:22:01,618 INFO  [Main] Node [automated=false, done=false, timestamp=83, url=https://stats.g.doubleclick.net/r/collect?t=dc&aip=1&_r=3&v=1&_v=j36&tid=UA-59619873-1&cid=985167178.1431523103&jid=605250172&_u=AGAAgAAB~&z=851552324]
2015-05-13 18:22:12,736 INFO  [Main] Node [automated=false, done=false, timestamp=84, url=http://lums.edu.pk/resources/page.php/students-resources]
2015-05-13 18:22:22,362 INFO  [Main] no such vertex in graph: Node [automated=true, done=true, timestamp=85, url=http://lums.edu.pk/updata/websites/original/39_20141124110410.jpg]
2015-05-13 18:22:24,803 INFO  [Main] Node [automated=true, done=true, timestamp=85, url=http://lums.edu.pk/updata/websites/original/39_20141124110410.jpg]
2015-05-13 18:22:24,803 INFO  [Main] Node [automated=false, done=false, timestamp=86, url=http://www.google-analytics.com/collect?v=1&_v=j36&a=1471452273&t=pageview&_s=1&dl=http%3A%2F%2Flums.edu.pk%2Fresources%2Fpage.php%2Fstudents-resources&dr=http%3A%2F%2Fwww.lums.edu.pk%2F&ul=en-us&de=UTF-8&dt=Resources%20-%20Students&sd=24-bit&sr=1366x768&vp=703x629&je=1&fl=17.0%20r0&_utma=245211800.985167178.1431523103.1431523103.1431523103.1&_utmz=245211800.1431523103.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)&_utmht=1431523114087&_u=ACCCgAAB~&jid=&cid=985167178.1431523103&tid=UA-59619873-1&z=1036657237]
2015-05-13 18:22:35,643 INFO  [Main] Node [automated=true, done=true, timestamp=87, url=http://lums.edu.pk/assets/img/breadcrumbs.png]
2015-05-13 18:22:35,643 INFO  [Main] Node [automated=true, done=true, timestamp=88, url=http://lums.edu.pk/assets/plugins/line-icons/fonts/Simple-Line-Icons.woff]
2015-05-13 18:22:35,643 INFO  [Main] Node [automated=false, done=false, timestamp=89, url=http://stats.g.doubleclick.net/__utm.gif?utmwv=5.6.4dc&utms=2&utmn=321852606&utmhn=lums.edu.pk&utmcs=UTF-8&utmsr=1366x768&utmvp=686x629&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=17.0%20r0&utmdt=Resources%20-%20Students&utmhid=1471452273&utmr=http%3A%2F%2Fwww.lums.edu.pk%2F&utmp=%2Fresources%2Fpage.php%2Fstudents-resources&utmht=1431523114221&utmac=UA-59619873-1&utmcc=__utma%3D245211800.985167178.1431523103.1431523103.1431523103.1%3B%2B__utmz%3D245211800.1431523103.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=q~]
2015-05-13 18:22:46,628 INFO  [Main] Node [automated=true, done=true, timestamp=90, url=http://lums.edu.pk/assets/plugins/line-icons/fonts/Simple-Line-Icons.ttf]
2015-05-13 18:22:46,628 INFO  [Main] Node [automated=false, done=false, timestamp=91, url=https://ssl.gstatic.com/docs/common/cleardot.gif?zx=gr7i97wco6f9]
2015-05-13 18:22:57,609 INFO  [Main] Node [automated=true, done=true, timestamp=92, url=http://lums.edu.pk/resources/page.php/staff-resources]
2015-05-13 18:22:57,609 INFO  [Main] Node [automated=false, done=false, timestamp=93, url=http://lums.edu.pk/updata/departments/w270/no-image.jpg]
2015-05-13 18:23:08,197 INFO  [Main] Node [automated=true, done=true, timestamp=94, url=http://www.google-analytics.com/collect?v=1&_v=j36&a=482308597&t=pageview&_s=1&dl=http%3A%2F%2Flums.edu.pk%2Fresources%2Fpage.php%2Fstaff-resources&ul=en-us&de=UTF-8&dt=Resources%20-%20Staff&sd=24-bit&sr=1366x768&vp=703x629&je=1&fl=17.0%20r0&_utma=245211800.985167178.1431523103.1431523103.1431523103.1&_utmz=245211800.1431523103.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)&_utmht=1431523139523&_u=ACCCgAAB~&jid=&cid=985167178.1431523103&tid=UA-59619873-1&z=749994083]
2015-05-13 18:23:08,198 INFO  [Main] Node [automated=true, done=true, timestamp=95, url=http://stats.g.doubleclick.net/__utm.gif?utmwv=5.6.4dc&utms=3&utmn=985233173&utmhn=lums.edu.pk&utmcs=UTF-8&utmsr=1366x768&utmvp=686x629&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=17.0%20r0&utmdt=Resources%20-%20Staff&utmhid=482308597&utmr=0&utmp=%2Fresources%2Fpage.php%2Fstaff-resources&utmht=1431523139632&utmac=UA-59619873-1&utmcc=__utma%3D245211800.985167178.1431523103.1431523103.1431523103.1%3B%2B__utmz%3D245211800.1431523103.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmu=q~]
2015-05-13 18:23:08,199 INFO  [Main] Max Similarity: 1.0
2015-05-13 18:23:08,199 INFO  [Main] Total Time (mins): 1
